region,instance_type
ap-south-1,c7i.metal-24xl
ap-south-1,m6i.16xlarge
ap-south-1,i3.2xlarge
ap-south-1,x1e.8xlarge
ap-south-1,r5ad.2xlarge
ap-south-1,inf2.8xlarge
ap-south-1,r7gd.medium
ap-south-1,m7gd.16xlarge
ap-south-1,c7g.xlarge
ap-south-1,r8g.4xlarge
ap-south-1,c6in.12xlarge
ap-south-1,r6i.12xlarge
ap-south-1,c5.9xlarge
ap-south-1,c7gd.4xlarge
ap-south-1,r6i.32xlarge
ap-south-1,c7gd.xlarge
ap-south-1,i4i.4xlarge
ap-south-1,t3a.2xlarge
ap-south-1,r6a.xlarge
ap-south-1,m6id.12xlarge
ap-south-1,i3en.xlarge
ap-south-1,x1e.16xlarge
ap-south-1,x2iedn.metal
ap-south-1,z1d.xlarge
ap-south-1,c6in.metal
ap-south-1,m6a.4xlarge
ap-south-1,trn1.32xlarge
ap-south-1,c6a.xlarge
ap-south-1,r4.16xlarge
ap-south-1,m6id.8xlarge
ap-south-1,c7gd.medium
ap-south-1,x2iedn.24xlarge
ap-south-1,r6a.large
ap-south-1,t3.2xlarge
ap-south-1,d2.8xlarge
ap-south-1,i4i.12xlarge
ap-south-1,r7i.48xlarge
ap-south-1,m6a.48xlarge
ap-south-1,c7i.large
ap-south-1,m5a.8xlarge
ap-south-1,r5d.4xlarge
ap-south-1,u-12tb1.112xlarge
ap-south-1,c5d.2xlarge
ap-south-1,m7i.48xlarge
ap-south-1,r6i.2xlarge
ap-south-1,c7gd.16xlarge
ap-south-1,m6i.2xlarge
ap-south-1,r6g.8xlarge
ap-south-1,inf2.xlarge
ap-south-1,x2idn.16xlarge
ap-south-1,r5n.16xlarge
ap-south-1,m6i.metal
ap-south-1,m6idn.large
ap-south-1,m7i-flex.large
ap-south-1,c7g.16xlarge
ap-south-1,m5a.4xlarge
ap-south-1,r4.4xlarge
ap-south-1,t3a.small
ap-south-1,i3en.large
ap-south-1,m6idn.8xlarge
ap-south-1,m5ad.xlarge
ap-south-1,c7gd.8xlarge
ap-south-1,u-6tb1.112xlarge
ap-south-1,t2.nano
ap-south-1,r6gd.medium
ap-south-1,z1d.2xlarge
ap-south-1,r7gd.4xlarge
ap-south-1,x2iedn.16xlarge
ap-south-1,m6i.24xlarge
ap-south-1,c7g.metal
ap-south-1,c7i-flex.12xlarge
ap-south-1,c5n.4xlarge
ap-south-1,c6gn.2xlarge
ap-south-1,x2iedn.xlarge
ap-south-1,r5.metal
ap-south-1,r6id.xlarge
ap-south-1,c6gn.8xlarge
ap-south-1,t3a.xlarge
ap-south-1,m6in.4xlarge
ap-south-1,r5ad.4xlarge
ap-south-1,inf2.48xlarge
ap-south-1,m6a.12xlarge
ap-south-1,m5ad.12xlarge
ap-south-1,r8g.medium
ap-south-1,t3.nano
ap-south-1,r5d.16xlarge
ap-south-1,r4.8xlarge
ap-south-1,r6a.32xlarge
ap-south-1,x1e.32xlarge
ap-south-1,r6gd.8xlarge
ap-south-1,c6gn.xlarge
ap-south-1,c7i-flex.8xlarge
ap-south-1,m4.4xlarge
ap-south-1,m5.2xlarge
ap-south-1,m6a.2xlarge
ap-south-1,c5a.4xlarge
ap-south-1,g4dn.xlarge
ap-south-1,c5d.xlarge
ap-south-1,c4.4xlarge
ap-south-1,m5ad.2xlarge
ap-south-1,m6gd.16xlarge
ap-south-1,i3en.3xlarge
ap-south-1,m5a.12xlarge
ap-south-1,c5d.18xlarge
ap-south-1,t3.large
ap-south-1,r5n.4xlarge
ap-south-1,x2iedn.32xlarge
ap-south-1,d3.2xlarge
ap-south-1,c5n.metal
ap-south-1,r5n.large
ap-south-1,c6i.xlarge
ap-south-1,r5.large
ap-south-1,r8g.24xlarge
ap-south-1,c7i.2xlarge
ap-south-1,m6idn.32xlarge
ap-south-1,r6gd.metal
ap-south-1,m6g.12xlarge
ap-south-1,c6in.24xlarge
ap-south-1,m6in.large
ap-south-1,g5.4xlarge
ap-south-1,is4gen.8xlarge
ap-south-1,r4.xlarge
ap-south-1,c7g.medium
ap-south-1,t3a.medium
ap-south-1,i2.xlarge
ap-south-1,m7gd.metal
ap-south-1,r6a.24xlarge
ap-south-1,x2idn.32xlarge
ap-south-1,r6id.2xlarge
ap-south-1,c6g.medium
ap-south-1,t4g.xlarge
ap-south-1,r5d.metal
ap-south-1,i3en.2xlarge
ap-south-1,x1.32xlarge
ap-south-1,r7i.2xlarge
ap-south-1,r6i.24xlarge
ap-south-1,r5ad.8xlarge
ap-south-1,is4gen.xlarge
ap-south-1,i4i.16xlarge
ap-south-1,m7i-flex.16xlarge
ap-south-1,t4g.medium
ap-south-1,x2idn.metal
ap-south-1,c7i.xlarge
ap-south-1,x1e.4xlarge
ap-south-1,is4gen.2xlarge
ap-south-1,c5d.large
ap-south-1,r5.8xlarge
ap-south-1,r7i.metal-24xl
ap-south-1,m7g.large
ap-south-1,t2.micro
ap-south-1,r8g.8xlarge
ap-south-1,c6a.metal
ap-south-1,r5d.xlarge
ap-south-1,i4i.24xlarge
ap-south-1,r8g.2xlarge
ap-south-1,m6g.4xlarge
ap-south-1,r8g.metal-24xl
ap-south-1,r6g.4xlarge
ap-south-1,m5d.large
ap-south-1,m6gd.8xlarge
ap-south-1,r5ad.12xlarge
ap-south-1,m6a.xlarge
ap-south-1,m5a.large
ap-south-1,m7i.12xlarge
ap-south-1,m6id.32xlarge
ap-south-1,c6a.48xlarge
ap-south-1,x1e.xlarge
ap-south-1,r7i.4xlarge
ap-south-1,m7gd.12xlarge
ap-south-1,t4g.large
ap-south-1,c4.2xlarge
ap-south-1,c4.large
ap-south-1,c6i.12xlarge
ap-south-1,c6g.4xlarge
ap-south-1,a1.4xlarge
ap-south-1,a1.metal
ap-south-1,c6a.2xlarge
ap-south-1,m6in.16xlarge
ap-south-1,m7i.24xlarge
ap-south-1,m7i.metal-48xl
ap-south-1,z1d.6xlarge
ap-south-1,r7gd.12xlarge
ap-south-1,c6a.8xlarge
